,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (microg/mg dry wt),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (1=browen,2=black)","Int-discolor (1=browen,2=black)","seed-discolor (1= browen, 2=black)","leaves -discolor (1=yello,2 =browen)","Stem-cankers (1=below-soil,2=above-soil)"
Infection plant,39.13,15.12,122.34,34.88,36.38,22.89,10.99,24.48,14.51,173.03,11.37,1,1,1,1,1,1,1,1,2,1
Infection plant,36.81,16.06,127.94,16.74,38,24.89,6.16,19.17,12.45,197,13.74,1,1,1,1,1,2,1,1,1,2
Infection plant,32.49,14.56,90.27,27.98,28.02,16.43,12.81,20.58,17.1,146,10.7,1,1,1,1,1,2,1,2,1,1
Infection plant,36.12,12.88,118.23,16.88,49.42,22.39,3.65,19.36,17.06,123.56,12.48,1,1,1,1,2,1,1,2,2,1
Infection plant,38.87,17.88,80.77,18.38,48.86,23.49,6.01,28.09,14.88,147.03,13.89,1,1,1,1,2,1,1,1,1,1
Infection plant,39.94,19.72,129.79,20.09,33.35,16.82,10.3,22.06,12.35,209.28,12.21,1,1,1,1,2,1,1,2,1,2
Infection plant,34.01,20.06,137.61,21.1,40.55,21.11,3.39,27.44,13.39,190.37,16.65,1,1,1,1,1,2,1,1,1,1
Infection plant,30.03,20.95,82.72,31.59,21.99,22.59,12.13,19.44,15.08,141.47,9.85,1,1,1,1,2,2,1,2,2,2
Infection plant,36.51,21.91,80.37,16.24,47.31,20.58,11.7,24.8,14.91,184.44,11.25,1,1,1,1,2,1,1,2,1,1
Infection plant,30.87,16.91,131.11,32.39,48.35,19.31,3.97,23.76,11.15,137.53,14.36,1,1,1,1,1,1,1,2,2,2
Infection plant,34.39,15.34,133.15,47.88,28.6,20.46,9,23.02,13.44,115.72,14.14,1,1,1,1,2,2,1,2,2,1
Infection plant,35.19,21.24,128.75,36.86,30.63,22.72,6.95,22.14,9.58,161.82,15.99,1,1,1,1,1,1,1,1,2,2
Infection plant,36.09,17.08,115.26,27.46,20.28,21.34,11.39,15.53,10.19,175.66,11.99,1,1,1,1,1,1,1,1,2,2
Infection plant,34.63,17.27,125.37,37.96,38.11,19.34,10.85,29.44,8.94,209.52,19.17,1,1,1,1,2,2,1,1,2,1
Infection plant,33.33,17.52,123.94,10.71,40.67,18.19,5.31,21.16,16.61,148.48,16.71,1,1,1,1,2,2,1,2,1,2
Infection plant,33.11,12.03,137.41,24.09,39.31,20.71,5.22,17.64,14.48,190.68,11.41,1,1,1,1,1,2,1,2,2,1
Infection plant,39.68,12.65,122.6,32.14,35.44,25.09,5.21,21.47,16.98,141.8,11.89,1,1,1,1,2,1,1,1,2,2
Infection plant,34.29,15.71,112.38,40.83,42.74,19.21,11.84,27.19,11.89,118.39,12.57,1,1,1,1,2,1,1,1,2,1
Infection plant,35.26,18.54,81.08,19.04,46.69,21.86,8.45,23.05,8.7,129.9,13.4,1,1,1,1,1,1,1,2,2,1
Infection plant,30.19,14.47,113.83,22.67,29.5,20.9,5.79,29.59,15.7,119.6,15.4,1,1,1,1,1,1,1,1,2,1
Infection plant,36.83,14.31,99.94,36.71,20.04,16.53,4.06,25.29,11.58,117.88,14.04,1,1,1,1,1,1,1,2,1,1
Infection plant,37.55,16.72,88.75,49.49,34.79,17.31,11.15,23.82,14.86,177.6,19.63,1,1,1,1,2,2,1,2,2,2
Infection plant,31.3,18.08,127.31,34.38,27.27,17.25,7.43,15.32,9.71,206.56,15.13,1,1,1,1,1,2,1,2,2,2
Infection plant,34.33,18.21,107.12,17.44,26.53,17.62,8.71,27.32,10.88,116.69,18.32,1,1,1,1,2,2,1,2,1,2
Infection plant,31.13,16.31,127.03,16.69,36.63,16.73,12,24.95,8.8,158.76,11.23,1,1,1,1,1,1,1,1,2,2
Infection plant,34.61,21.15,83.6,48.49,48.27,24.51,12.62,24.36,10.87,204,18.25,1,1,1,1,1,2,1,1,2,2
Infection plant,32.64,20.75,89.47,17.66,27.32,25.03,12.06,18.41,15.89,203.41,11.34,1,1,1,1,2,2,1,2,2,1
Infection plant,39.58,21.11,131.84,33.43,39.44,24.45,5.73,14.26,10.37,128.69,9.39,1,1,1,1,1,2,1,1,2,2
Infection plant,35.4,13.19,98.77,39.24,32.39,17.09,4.82,14.96,11.52,176.01,18.84,1,1,1,1,1,1,1,2,2,2
Infection plant,31.28,16.37,82.11,38.37,40.97,17.18,3.52,17.9,17.36,152.44,10.56,1,1,1,1,1,1,1,1,1,1
Infection plant,37.26,21.07,87.23,26.18,40.77,18.18,7.58,22.63,10.59,203.51,11.33,1,1,1,1,2,1,1,1,2,2
Infection plant,35.01,13.22,102.92,18.41,32.17,18.25,4.61,26.51,12.12,186.61,12.2,1,1,1,1,1,1,1,1,2,1
Infection plant,34.12,19.77,95.5,29.83,29.89,16.78,6.27,29.57,16.53,200.09,10.01,1,1,1,1,1,1,1,2,1,1
Infection plant,35.03,16.76,90.93,29.22,44.27,18.14,3.79,26.74,13.74,163.26,20.57,1,1,1,1,2,1,1,2,2,1
Infection plant,30.89,16.42,131.03,45.93,35.92,25.04,9.57,18.39,8.24,129.28,12.56,1,1,1,1,2,1,1,1,2,1
Infection plant,39.79,19.6,91.82,26.72,22.56,24.78,11.32,24.14,16.16,119,10.34,1,1,1,1,1,2,1,1,2,1
Infection plant,34.37,16.93,95.47,29.31,36.7,20.96,9.95,19.57,13.81,135.24,13.81,1,1,1,1,1,1,1,2,1,1
Infection plant,38.01,16.92,134.08,35.4,49.76,22.07,12.52,21.1,16.94,174.16,11.98,1,1,1,1,2,1,1,1,2,1
Infection plant,33.03,13.57,128.12,18.68,31.24,16.77,11.61,15.52,16.68,135.08,12.34,1,1,1,1,2,1,1,2,2,2
Infection plant,33.5,15.06,122.98,13.4,28.89,16.31,4.75,16.47,12.93,143.5,15.26,1,1,1,1,2,1,1,2,1,1
Infection plant,36.3,14.66,95.67,25.99,45.82,22.44,7.74,23.22,15.57,189,18.35,1,1,1,1,2,1,1,2,2,2
Infection plant,34.89,12.93,83.27,27.52,35.78,24.71,12.09,25.71,13.51,121.1,9.9,1,1,1,1,1,2,1,2,2,1
Infection plant,37.77,16.04,128,35.32,22.59,20,12.63,15.27,13.57,136.91,13.87,1,1,1,1,1,2,1,2,2,2
Infection plant,38.2,14.13,96.05,44.01,36.34,20.47,9.69,29.28,12.5,129.4,9.31,1,1,1,1,1,1,1,1,2,2
Infection plant,39.38,16.39,133.23,15.03,41,22.4,11.23,29.37,9.67,167.53,13.95,1,1,1,1,1,1,1,1,1,2
Infection plant,32.99,19.94,133.12,18.36,33.77,19.38,11.3,20.22,12.84,198.41,18.4,1,1,1,1,2,1,1,1,2,1
Infection plant,36.17,19.42,97,33.12,20.36,24.23,3.44,24.3,16.42,150.78,14.64,1,1,1,1,2,1,1,1,2,1
Infection plant,35.61,12.67,128.13,38.62,46.58,20.35,11.96,28.2,13.46,110.04,14.34,1,1,1,1,2,2,1,1,1,2
Infection plant,34.46,16.46,120.3,16.22,29.24,22.29,3.94,19.86,15.07,187.77,20.4,1,1,1,1,1,1,1,2,2,1
Infection plant,31.02,13.38,137.59,19.95,32.23,16.85,5.35,26.91,17.22,138.15,13.18,1,1,1,1,2,1,1,2,2,2
Infection plant,30.57,12.26,84.87,28.87,38.19,21.51,5.52,27.46,17.18,200,10.42,1,1,1,1,2,2,1,1,1,2
Infection plant,32.47,13.27,131.02,15.32,26.79,17.93,10.96,20.8,14.9,120.18,10.63,1,1,1,1,1,1,1,2,1,2
Infection plant,35.5,13.15,90.79,37.29,45.01,21.53,3.69,29.38,16.25,125.71,15.04,1,1,1,1,2,1,1,1,1,2
Infection plant,33.68,19.52,131.24,15.81,43.18,23.86,4.22,23.34,8.08,117.6,17.58,1,1,1,1,1,1,1,1,2,1
Infection plant,31.16,12.71,130.92,15.86,30.58,22.21,4.74,27.42,8.59,111.3,13.55,1,1,1,1,2,1,1,1,2,1
Infection plant,32.66,13.36,120.79,16.62,48.12,17.45,8.22,24.15,12.26,137.92,13.17,1,1,1,1,1,1,1,1,1,1
Infection plant,30.98,19.84,128.57,49.96,47.61,18.6,3.02,26.48,10.89,183,10.43,1,1,1,1,1,2,1,1,1,2
Infection plant,39.97,21.79,120.65,34.15,36.97,20.23,8.26,17.59,9.57,188.77,11.14,1,1,1,1,1,1,1,2,1,1
Infection plant,38.63,16.18,97.07,40.95,31.11,17.98,5.18,16.04,11.78,125.29,13.8,1,1,1,1,1,1,1,1,2,1
Infection plant,38.91,18.6,109.65,36.89,32.94,16.49,12.58,26.9,12.51,192.9,20.75,1,1,1,1,2,2,1,2,1,2
Infection plant,31.03,12.87,81.87,27.5,20.88,16.57,4.21,17.67,10.32,114.11,17.82,1,1,1,1,1,1,1,2,1,2
Infection plant,31.54,13.25,129.87,26.16,20.34,17.38,8.14,16.19,17.77,142.72,13.82,1,1,1,1,1,1,1,1,2,1
Infection plant,35.58,14.41,126.67,14.86,29.82,23.76,6.47,16.58,13.86,127.84,19.58,1,1,1,1,1,1,1,1,2,2
Infection plant,36.57,13.77,99.16,19.07,29.98,22.78,5.19,16.94,12.97,122.98,10.36,1,1,1,1,1,2,1,1,1,2
Infection plant,36.24,21.01,130.88,46.81,48.62,19.64,12.54,17.17,17.29,168.62,15.02,1,1,1,1,2,1,1,2,1,1
Infection plant,36.46,19.29,120.19,23.24,29.86,21.22,5.34,24.24,17.83,168.39,12.66,1,1,1,1,2,1,1,1,1,1
Infection plant,36.22,13.01,96.68,18.03,49.44,24.5,12.9,22.16,16.95,141.91,20.87,1,1,1,1,2,2,1,1,2,1
Infection plant,30.72,13.3,136.28,48.38,48.58,18.78,6.38,14.8,11.22,145,10.89,1,1,1,1,2,2,1,1,1,2
Infection plant,37.07,20.31,82.92,37.45,20.6,20.85,8.33,26.86,12.99,163.6,19.28,1,1,1,1,1,1,1,2,1,1
Infection plant,36.89,20.24,84.1,49.23,47.24,16.91,7.97,25.16,10.62,198.16,9.44,1,1,1,1,2,2,1,1,2,2
Infection plant,32.39,12.16,83.71,43.51,42.58,18.33,11.8,21.64,8,116.05,11.71,1,1,1,1,1,1,1,2,2,2
Infection plant,32.53,21.88,106.14,17.63,48,19.46,4.52,16.18,9.13,159.83,11.86,1,1,1,1,2,1,1,2,1,1
Infection plant,33.79,12.39,108.76,17.49,25.7,16.18,12.43,28.18,12.87,128.46,14.5,1,1,1,1,2,2,1,2,2,1
Infection plant,30.75,14.33,87.83,37.62,20.66,20.11,9.9,21.08,11.21,186.96,14.11,1,1,1,1,2,2,1,2,2,1
Infection plant,30.1,21.76,134.7,20.68,48.9,18.62,10.88,24.82,14.96,138.82,17.69,1,1,1,1,1,1,1,1,2,2
Infection plant,35.78,20.92,129.16,37.34,39.75,25.56,11.64,20.02,10.75,174.7,12.95,1,1,1,1,1,1,1,1,2,1
Infection plant,39.88,16.6,134.43,44.46,23.28,25,8.32,18.59,11.11,141.35,15.91,1,1,1,1,1,2,1,2,2,2
Infection plant,36.93,21.83,132.74,33.46,39.22,22.95,8.95,22.79,12.49,119.54,17.51,1,1,1,1,2,2,1,2,2,2
Infection plant,38.71,14.12,93,25.43,45.08,18.94,3.47,17.18,12.31,198.05,17.8,1,1,1,1,2,1,1,1,1,2
Infection plant,31.82,18.12,94.08,30.81,48.42,22.17,11.27,17.27,9.45,124.9,13.3,1,1,1,1,1,1,1,1,1,1
Infection plant,36.78,21.53,106,31.42,41.45,18.76,9.6,23.14,16.41,131.7,14.57,1,1,1,1,1,2,1,1,2,2
Infection plant,36.62,12.06,115.77,28.49,26.43,17.49,6.69,24.53,11.64,154,9.86,1,1,1,1,1,1,1,1,2,2
Infection plant,35.9,13.8,135.84,23.4,41.88,17.06,3.85,29.5,13.89,120,19.87,1,1,1,1,2,2,1,2,1,1
Infection plant,35.35,14.79,95,36.58,20.68,18.63,12.74,28.12,13.07,154.14,20.32,1,1,1,1,1,1,1,1,2,1
Infection plant,37.28,17.63,125.66,36.07,23.65,19.96,12.66,18.51,10.77,154.45,14.88,1,1,1,1,1,1,1,1,1,1
Infection plant,36.7,12.69,95.26,26.66,38.97,17.47,9.17,29.56,14.02,142.55,14.05,1,1,1,1,1,1,1,2,2,1
Infection plant,33.82,20.89,84.27,36,26.35,21.93,8.18,14.1,9.74,162.81,20.96,1,1,1,1,2,2,1,2,1,1
Infection plant,39.26,14.24,94.29,45.59,40.93,23.58,3.81,26.49,10.95,126.85,9.27,1,1,1,1,1,1,1,2,1,1
Infection plant,39.56,12.52,129.88,38.29,46.34,18.06,9.09,29.73,12.63,199.95,12.99,1,1,1,1,1,1,1,2,1,2
Infection plant,31.86,14.3,102.02,43.8,41.64,22.85,8.97,18.06,10.66,185.86,20.81,1,1,1,1,2,2,1,1,1,1
Infection plant,34.27,14.01,127.58,36.43,30.45,17.16,4.46,16.82,11.02,185.14,12.87,1,1,1,1,2,2,1,1,1,2
Infection plant,37.37,19.85,91.89,45.13,44.33,24.57,7.67,17.24,15.43,169.13,9.77,1,1,1,1,2,2,1,1,1,1
Infection plant,37.27,17.36,128.84,30.36,49.32,24.91,9.72,27.31,16.23,201.99,12.59,1,1,1,1,1,1,1,2,1,1
Infection plant,31.41,14.26,104.7,41.54,21.7,20.48,4.85,16.5,16.63,151.55,9.96,1,1,1,1,2,1,1,1,2,2
Infection plant,38.18,17.72,93.01,20.16,45.5,16.12,6,28.43,14.15,161.26,10.55,1,1,1,1,2,1,1,1,1,2
Infection plant,30.18,15.74,105,30.86,39.61,22.99,7.89,17.44,11.16,187.97,14.95,1,1,1,1,1,2,1,1,1,1
Infection plant,39.1,14.96,99.99,25.03,38.14,16.64,9.37,14.6,12.41,195.41,9.51,1,1,1,1,2,2,1,2,1,1
Infection plant,34.13,14.77,128.66,40.17,48.04,25.44,12.96,20.25,15.26,196,14.25,1,1,1,1,2,1,1,1,1,1
Infection plant,37.78,19.13,88.36,24.52,49.36,19.27,5.41,22.34,17.61,190.16,16.26,1,1,1,1,1,2,1,2,1,1
Infection plant,34.4,13.68,110.82,43.35,26.51,24.94,10.24,25.81,9.81,113,18.74,1,1,1,1,2,2,1,2,2,2
Infection plant,31.77,20.13,120.18,19.55,32.7,22.45,9.28,17.53,17.31,178.92,10.75,1,1,1,1,2,2,1,2,1,2
Infection plant,30.61,16.94,85.51,45.77,43.16,19.57,5.76,15.46,16.47,150.17,9.04,1,1,1,1,1,2,1,1,1,1
Infection plant,38.55,12.35,89.98,10,21.4,17.12,5.85,16.44,16.2,153.76,13.47,1,1,1,1,2,2,1,1,1,2
Infection plant,37.72,13.66,131.38,22.38,21.84,20.15,9.77,22.81,14.08,182.93,15.06,1,1,1,1,2,1,1,2,2,1
Infection plant,35.32,17.74,132.79,31.46,47.35,22.33,8.58,29.02,14.3,123.58,10.9,1,1,1,1,2,2,1,1,2,2
Infection plant,34.74,21.13,80.09,34.42,37.44,23.83,9.78,20.48,13.53,186.54,13.96,1,1,1,1,2,1,1,1,1,1
Infection plant,38.59,16.02,125.99,24.22,27.65,19.28,7.63,21.91,14.05,184.32,13.26,1,1,1,1,1,2,1,1,1,1
Infection plant,37.43,12.56,95.84,13.54,36.81,25.05,10.12,29.66,16.73,184.13,20.61,1,1,1,1,2,1,1,1,1,2
Infection plant,32.74,19.14,97.43,25.76,32.28,16.99,10.49,17.68,15.23,136.24,17.96,1,1,1,1,2,1,1,2,2,2
Infection plant,37.79,13.55,94.53,15.74,41.95,17.44,8.56,15.35,17.99,167.07,17.21,1,1,1,1,1,1,1,2,1,1
Infection plant,39.76,19.43,95.28,49.64,45.12,24.53,3.99,26.38,12.66,132.2,17.46,1,1,1,1,2,1,2,2,1,1
Infection plant,36.97,14.94,98.56,21.54,36.21,20.22,4.29,21.53,13.73,133.59,13.08,1,1,1,1,2,2,2,2,2,1
Infection plant,37.76,16.84,94.21,33.32,20.38,24.63,8.64,20.39,14.64,113.46,9.09,1,1,1,1,1,1,2,2,1,2
Infection plant,39.47,19.37,109,39.83,36.37,22.65,6.23,27.88,16.57,198.34,15.9,1,1,1,1,2,1,2,2,2,1
Infection plant,30.29,12.4,80.91,28.14,49.52,25.21,4.28,17.16,14.04,123.31,11.05,1,1,1,1,1,2,2,2,1,1
Infection plant,39.95,12.78,139.18,48.64,25.52,16.03,4.32,15.34,14.09,119.7,9.14,1,1,1,1,2,1,2,1,2,2
Infection plant,34.41,19.35,92.76,32.64,39.37,25.87,3.06,24.69,14.24,149.47,20.85,1,1,1,1,2,1,2,2,2,1
Infection plant,30.88,17.78,121.21,23.92,31.19,21.67,11.34,23.21,16.35,164.68,11.19,1,1,1,1,2,1,2,1,1,1
Infection plant,37.4,20.09,128.1,17.21,34.68,18.74,8.69,17.5,15.21,134.22,12.96,1,1,1,1,2,2,2,2,1,2
Infection plant,35.07,16.5,123.06,15.42,48.47,23.42,3.9,19.09,12.79,206.29,11.77,1,1,1,1,1,2,2,2,2,1
Infection plant,35.86,12.22,134.69,25.87,46.18,22.41,12.36,24.74,8.22,154.86,20.51,1,1,1,1,1,2,2,1,1,1
Infection plant,36.54,17.71,126.02,37.83,48.07,20.62,12.39,26.36,9.82,192.41,20.03,1,1,1,1,2,2,2,2,1,1
Infection plant,36.43,21.3,117.76,16.03,43.41,20.93,3.29,23.46,9.75,133.11,14.91,1,1,1,1,1,2,2,1,1,1
Infection plant,31.12,21.5,133.64,32.19,21.29,20.12,12.15,18.19,15.77,170.97,12.03,1,1,1,1,2,1,2,2,1,1
Infection plant,35.11,13.96,80.75,46.07,26.68,22.35,6.4,23.78,10.69,205.55,16.79,1,1,1,1,2,1,2,1,1,1
Infection plant,32.31,16.34,130.06,22.49,45.02,18.91,3.67,28.15,11.38,199.49,11.73,1,1,1,1,1,2,2,2,2,1
Infection plant,39.57,13.63,134.6,27.58,33.23,22.25,12.14,20.69,9.64,202.46,13.64,1,1,1,1,1,1,2,1,1,1
Infection plant,37.08,14.58,82.78,15.09,45.71,22.87,9.8,25.72,13.38,176.35,14.79,1,1,1,1,2,1,2,1,2,1
Infection plant,30.11,14.99,99.74,48.88,49.96,16.69,9.43,27.2,11.1,197.01,14.22,1,1,1,1,1,1,2,1,2,1
Infection plant,32.21,14.03,113.73,45.97,29.29,25.5,6.58,25.99,9.29,206.94,15.86,1,1,1,1,2,1,2,1,2,1
Infection plant,33.04,19.36,82.26,26.05,47.85,16.47,5.08,20.23,15.5,155.51,18.5,1,1,1,1,1,1,2,1,2,2
Infection plant,34.87,16.87,84.82,29.86,39.39,16.86,4.7,27.64,9.38,129.84,15.69,1,1,1,1,1,1,2,2,1,2
Infection plant,36.85,21.87,127.28,46.27,23.66,25.54,5.14,17.7,11.83,115.48,14.93,1,1,1,1,2,1,2,2,2,2
Infection plant,39.22,16.57,134.09,21.4,23.42,20.94,7.71,28.26,13.12,115,11.31,1,1,1,1,1,2,2,2,1,2
Infection plant,30.06,21.61,134.27,42.03,45.99,22.92,5.11,14.87,9.9,156.16,19.52,1,1,1,1,1,1,2,1,1,2
Infection plant,39.54,17.28,110.23,42.14,46.92,23.03,6.35,17.85,11.93,146.41,9.84,1,1,1,1,2,1,2,2,1,2
Infection plant,36.4,15.7,137.71,22.27,49.13,21.43,6.25,14.76,15.81,179.69,14.47,1,1,1,1,1,1,2,2,2,2
Infection plant,33.87,20.76,96.92,10.48,25.02,18.55,7.78,17.14,16.56,143.4,9.47,1,1,1,1,1,1,2,2,1,1
Infection plant,38.33,19.39,120.38,15.94,36.74,18.45,5.92,16.71,12.76,184,15.59,1,1,1,1,1,2,2,1,1,2
Infection plant,35.2,19.1,87.49,49.18,22.89,20.2,6.63,19.84,9,114.25,9.67,1,1,1,1,1,1,2,1,2,1
Infection plant,36.27,19.2,130.83,38.27,24.72,17.86,12.32,19.1,8.39,142.67,12.02,1,1,1,1,1,1,2,2,2,2
Infection plant,37.44,18.46,128.34,35.91,49.38,17.83,9.98,20.89,10.56,171.13,14.67,1,1,1,1,1,1,2,2,1,1
Infection plant,34.94,15.97,124.23,33.84,21.52,23.88,5.17,14.61,8.9,199,15.12,1,1,1,1,2,2,2,1,1,2
Infection plant,38.92,17.61,92.32,32.07,22.2,18.47,8.57,16.78,10.16,118.13,10.58,1,1,1,1,1,1,2,1,2,2
Infection plant,30.79,19.99,115,37.54,39.51,17.3,4.73,22.03,14.7,156,15.96,1,1,1,1,1,2,2,1,2,2
Infection plant,34.68,14.82,124.91,37.6,29.68,24.28,4.57,26.25,13.61,196.93,12.91,1,1,1,1,2,1,2,1,1,2
Infection plant,37.69,19.44,100.73,26.57,29.4,18.52,6.52,18.68,8.61,159.69,20.26,1,1,1,1,2,2,2,2,1,2
Infection plant,37.42,14.92,93.27,20.7,48.6,25.51,4.42,29.49,9.89,184.99,14.48,1,1,1,1,2,2,2,1,1,2
Infection plant,38.03,18.78,83.66,11.58,32.82,17.9,12.72,18.55,9.99,205.02,12.69,1,1,1,1,1,1,2,1,2,1
Infection plant,32.28,12.77,96.8,10.37,46.12,16.48,7.87,24.84,9.72,112.28,20.48,1,1,1,1,2,2,2,1,1,2
Infection plant,33.81,15.51,135.94,18.45,33.68,25.84,10.91,25.84,16.13,120.48,11.26,1,1,1,1,1,2,2,1,2,2
Infection plant,31.61,15.92,122.12,48.22,27.23,17.4,12.71,25.82,16.7,165.69,20.76,1,1,1,1,1,2,2,1,1,1
Infection plant,33.2,17.6,136.51,19.7,30.74,22.76,12.12,24.63,8.29,123,15.3,1,1,1,1,2,1,2,1,2,1
Infection plant,35.82,21.08,124.11,48.02,33.46,17.34,9.16,29.68,9.3,145.91,10.04,1,1,1,1,1,1,2,1,1,1
Infection plant,35.62,21.04,130.41,49.56,35.11,22.55,11.24,17.29,14.21,184.45,12.63,1,1,1,1,1,2,2,2,2,1
Infection plant,32.73,16.59,139.23,18.1,48.46,21.13,9.51,16.59,10.97,196.92,10.73,1,1,1,1,1,1,2,1,2,1
Infection plant,33.8,21.52,125.89,10.93,46.85,23.13,4.95,24.56,12.83,160.61,15.75,1,1,1,1,2,2,2,1,1,2
Infection plant,39.17,17.18,90.2,38.6,38.84,22.32,11.09,29.14,14.31,161.22,19.94,1,1,1,1,2,2,2,2,2,2
Infection plant,37.68,16.3,86.42,23.13,48.43,23.79,3.14,16.99,9.09,178.82,20.09,1,1,1,1,1,2,2,1,2,2
Infection plant,32.81,20.69,125.11,10.02,33.55,24.19,7.57,25.9,12.91,135.14,10.19,1,1,1,1,1,2,2,1,1,2
Infection plant,32.68,16.65,91.12,19.05,48.96,18.56,12.48,19.52,12.24,136.13,12,1,1,1,1,1,1,2,2,2,1
Infection plant,31.49,20.56,131.74,12.45,39.34,16.2,5.61,20.43,10.25,115.37,19.29,1,1,1,1,2,1,2,2,2,2
Infection plant,32.04,17.22,131.33,49.13,47.54,23.59,6.32,29.63,10.42,110.4,14.19,1,1,1,1,2,2,2,1,1,1
Infection plant,33.86,15.78,128.56,48.29,46.81,23.27,5.13,25.4,16.32,182.54,9.13,1,1,1,1,2,2,2,2,2,2
Infection plant,30.41,21.03,105.57,29.93,34.98,23.64,11.36,25.18,15.04,186.38,19.64,1,1,1,1,1,2,2,1,2,2
Infection plant,39.86,12.97,124.03,44.18,48.87,18.34,11.86,17.02,12.43,174.41,15.67,1,1,1,1,1,1,2,1,2,2
Infection plant,30.21,16.1,80.92,25.51,33.51,25.74,3.63,26.7,8.04,145.37,13.07,1,1,1,1,1,2,2,2,1,2
Infection plant,30.3,18.23,83.06,14.72,45.93,22.68,6.43,19.3,11.69,193.75,14.58,1,1,1,1,1,2,2,1,2,1
Infection plant,34.56,13.84,101.11,36.11,46.61,21.87,4.45,19.54,16.6,174.43,9.45,1,1,1,1,2,2,2,1,2,2
Infection plant,33.02,19.3,82.58,32.72,36.78,16.26,6.59,17.82,10.74,131.36,12.86,1,1,1,1,2,1,2,1,1,1
Infection plant,39,18.14,102.6,26.91,35.9,18.85,3.68,24.23,17.3,201.43,9.32,1,1,1,1,1,1,2,1,2,1
Infection plant,35.24,17.31,96.22,27.12,26,17.28,11.22,28.4,15.73,184.88,9.75,1,1,1,1,1,2,2,2,1,2
Infection plant,37.31,18.15,94.89,17.15,25.46,22.19,9.79,18.45,14,124.38,10.77,1,1,1,1,2,1,2,2,2,1
Infection plant,39.85,15.07,129.54,11.04,23.99,19.88,9.55,24.68,15.62,133.81,14.52,1,1,1,1,1,1,2,1,2,1
Infection plant,36.58,18.68,132.12,46.33,48.91,19.73,8.24,29.53,17.01,117.21,17.26,1,1,1,1,1,2,2,2,1,2
Infection plant,31.94,17.51,139.64,15.96,27.98,18.39,6.98,29.52,11.28,143.1,14.28,1,1,1,1,2,2,2,1,1,2
Infection plant,39.96,17.57,126.36,33.57,36.04,17.94,3.61,15.5,9.92,201.79,12.17,1,1,1,1,1,1,2,2,2,2
Infection plant,33.12,14.48,131.17,40.24,30.68,25.12,7.16,21.94,8.84,185.44,15.94,1,1,1,1,1,2,2,1,1,2
Infection plant,37.6,20.49,110.73,38.28,45.18,19.56,8.06,19.19,12.98,205.83,11.2,1,1,1,1,2,1,2,2,2,1
Infection plant,31.15,15.9,83.67,39.2,37.64,21.36,5.65,15.77,8.3,164.23,11.01,1,1,1,1,1,1,2,2,1,2
Infection plant,35.22,17.3,90.35,32.73,20.42,16.6,9.4,17.47,9.83,152.72,20.22,1,1,1,1,2,1,2,1,2,1
Infection plant,35.96,15.53,92.16,22.66,22.5,17.95,6.66,18.56,13.05,122.27,10.15,1,1,1,1,1,2,2,2,1,2
Infection plant,36.42,20.39,82.21,30.44,49.33,19.3,7.35,14.21,16.27,140.2,16.05,1,1,1,1,2,1,2,2,1,1
Infection plant,38.22,19.46,99,49.11,36.07,21.19,10.93,28.5,13.83,118,13.12,1,1,1,1,2,2,2,1,1,2
Infection plant,37.23,16.83,129.63,48.9,42.63,22.11,12.78,17.77,13.92,128,14.98,1,1,1,1,2,1,2,2,1,1
Infection plant,30.84,19.78,91,38.95,48.28,21.59,11.79,26.16,8.52,178.98,16.96,1,1,1,1,2,2,2,1,1,1
Infection plant,35.37,20.22,129.09,21.59,21.31,24.44,8.67,21.15,10.09,138.39,20.45,1,1,1,1,2,1,2,1,1,2
Infection plant,33.19,16.85,138.16,43.82,45.57,16.61,3.22,23.97,9.5,120.6,17.98,1,1,1,1,1,1,2,2,2,1
Infection plant,30.77,16.77,133.46,36.38,21.96,19.09,4.91,18.16,12.8,123.75,14.29,1,1,1,1,1,2,2,2,2,2
Infection plant,37.9,15.87,100,37.13,36.75,18.69,4.05,15.72,12.7,192.18,10.33,1,1,1,1,2,2,2,2,1,1
Infection plant,33.4,21.62,90.39,17.59,46.13,20.61,8.81,28.86,15.94,156.15,12.1,1,1,1,1,2,2,2,2,2,2
Infection plant,39.39,14.34,80.08,25.44,42.99,21.25,9.23,21.89,17,193.28,19.91,1,1,1,1,2,1,2,2,1,2
Infection plant,35.77,20.4,105.67,48.51,20.1,22.84,8.07,16.48,17.42,140.82,11.87,1,1,1,1,1,2,2,2,2,2
Infection plant,32.26,14.07,109.02,20.86,36.93,23.02,3.35,26.73,13.26,121.22,18.26,1,1,1,1,1,1,2,1,2,1
Infection plant,32.56,15.95,95.43,40.74,32.57,19.75,10.21,22.92,10.94,171.77,11.43,1,1,1,1,2,1,2,2,2,1
Infection plant,35.74,13.59,81.22,16.6,37.35,17.37,10.83,14.93,8.85,131.3,9.37,1,1,1,1,1,2,2,1,1,2
Infection plant,30.43,18.36,135.9,40.25,31,18.67,12.47,19.15,9.85,138.74,18.2,1,1,1,1,2,1,2,1,2,2
