,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,88.39,34.25,199.8,59.46,98.98,59.46,17.07,58.24,18.26,284.82,39.31,12.22,95.77,20.36,12.38,27.13,15.35,3.86,11.33,14.63,15.33
Healthy soybean,54.28,39.32,216,92.57,81.83,92.57,19.94,55.5,26.25,303.51,48.26,9.74,81.36,27.73,15.29,23.78,12.78,10.73,15.77,21.09,20.48
Healthy soybean,86.95,22.09,150.18,77.91,57.95,77.91,13.3,59.26,18.95,225.45,49.11,14,87.22,22.98,19.03,25.34,18.93,8.13,14.53,20.21,18.23
Healthy soybean,83.18,29.75,195.46,75,97.99,75,18.61,41.44,19.49,283.02,22,8.69,77.73,21.59,15.95,27.89,19,8.5,12.61,18.99,17.87
Healthy soybean,47.7,38.87,164.63,74.07,98.03,74.07,15.98,58.66,26.3,265,32.91,16.5,70.05,29.11,19.27,23.63,20.01,10.97,14.88,15.44,15.35
Healthy soybean,53.9,35.38,146.96,85.25,94.39,85.25,14.42,42.26,21.28,399.31,20.93,15.57,70.32,29.51,11.23,30.88,18.51,9.47,16.79,14.29,11.01
Healthy soybean,46.33,30.56,197,78.47,73.83,78.47,19.25,53.12,22.84,292.09,33.49,9.92,70.52,22.24,19.05,21.27,14.63,10.28,18.9,19.17,15.34
Healthy soybean,85.93,31.38,229.73,84,56.16,84,20.78,35.1,24.57,253.48,47.26,11.82,71.79,27.91,13.24,29.76,11.63,10.78,9.53,19.4,15.01
Healthy soybean,98.06,30.23,220.14,64.75,84.15,64.75,20.44,31.76,24.66,221.28,22.04,8.82,75.88,21.03,11.54,26.73,12.95,10.32,15.09,19.03,14.88
Healthy soybean,65.49,28.58,158.93,54.99,88.43,54.99,21.28,39.59,19.06,273.55,48.13,11.76,61.42,21.9,16.76,21.32,12.62,1.06,18.34,15.54,19.59
Healthy soybean,85.48,38.38,168,71.45,52.9,71.45,21.73,52.84,19.73,271.33,30.59,12.16,70.85,20.53,16.4,29.03,18.57,10.4,11.14,15.24,18.8
Healthy soybean,81.46,35.56,180.64,64.26,68.53,64.26,14.95,47.54,20.18,249.49,34.05,11.21,80.65,28.98,13.39,22.3,11.23,9.62,9.1,20.79,20.82
Healthy soybean,64.22,27.47,159.77,56.89,62.37,56.89,13.22,40.95,22.18,385,33.02,15.61,66.69,22.49,20.57,22.45,16.3,2.8,9.87,22.4,12.56
Healthy soybean,101,39.48,184.85,78.31,50.91,78.31,16.44,52.4,20.26,284,26.5,9.4,65.05,24.24,18.93,23.92,11.82,2.59,11.64,17.9,14.93
Healthy soybean,91.05,34.94,222.87,52.73,86.46,52.73,15.29,52.09,22.17,312.93,30.7,10.63,82.36,23.35,16.56,22.46,17.5,3.05,11.25,14.6,15.04
Healthy soybean,91.7,26.82,232.86,63.07,89,63.07,18.3,59.52,19.61,355,22.32,7.25,61.93,27.15,16.83,22.88,11.97,5.66,14.37,17.65,17.92
Healthy soybean,52.79,29.97,140.62,98.81,97.38,98.81,14.25,48.27,20.42,285.83,31.61,12.62,54.46,21.75,15.51,28.92,13.36,5.29,9.47,19.52,18.14
Healthy soybean,78.93,31.42,196.23,89.82,67.45,89.82,13.32,44.67,18.9,401.7,33.91,11.74,91.49,22.44,19.02,24.67,19.76,3.82,13.44,15.83,11.61
Healthy soybean,62.81,22.14,171.14,90.27,94.29,90.27,17.14,32.72,23.17,240,23.8,11.17,77.67,29.7,17.26,25.2,11.17,2.05,17.58,15.02,13.42
Healthy soybean,73.16,33.45,149.38,57,76.06,57,15.3,45.98,25.69,300.32,27.83,13.51,54.49,26.71,13.82,29.38,17.14,9.95,17.87,22.95,16.73
Healthy soybean,85.05,40.07,239,62.68,98.54,62.68,21.88,53.96,23.93,267,23.41,16.48,64.75,24.21,17.16,27.59,17.91,2.18,14.77,14.49,15.19
Healthy soybean,51.82,22.6,205.61,73.89,85.77,73.89,21.17,30.32,22.54,296.69,26.67,13.93,69.84,21.11,14.14,30.44,17.72,10.74,17.35,17.57,20.28
Healthy soybean,103.33,33.43,221.43,64.64,92.29,64.64,21.4,45.63,19.33,344,24.31,13.77,71.87,27.29,12.96,24.79,13.01,6.13,16.35,21.1,12.29
Healthy soybean,82.7,23,186,68.33,82.91,68.33,19.03,47.5,18.79,270.35,27.14,9.66,99.48,23.01,19.33,23.64,17.01,9.15,9.02,20.53,14.1
Healthy soybean,107,25.34,169.95,70.62,52.29,70.62,21.84,35.68,27.64,408.56,39.08,11.75,50.44,28.85,11.95,28.39,17.35,5.31,12.35,22.41,18.7
Healthy soybean,101.72,30.77,141.06,97.87,74.44,97.87,22.13,48.8,25.61,268,26.22,9.72,95.3,28.33,14.67,29.3,19.4,8.28,17.88,22.1,14.78
Healthy soybean,78.34,37.64,203.45,86.07,81.53,86.07,15.71,38.97,21.57,327,50.14,12.48,66.7,27.23,11.26,23,20.17,3.26,12.67,19.94,11.75
Healthy soybean,49.14,27.45,173.17,74.75,60.89,74.75,22.56,59.18,19.56,231.49,25.39,14.03,66.21,21.58,17.75,30.38,13.25,5.4,15.16,19.32,17.27
Healthy soybean,101.87,23.68,186.9,82.49,51.45,82.49,17.29,58.39,27.95,381.16,41.96,13.18,62,29.91,12.97,30.94,11.04,3.22,15.55,16.92,18.63
Healthy soybean,45.48,24.93,192.28,92.55,77.14,92.55,14.29,55.31,23.71,341,40.5,8.7,83.9,21.63,14.85,30.01,16.06,3.28,18.75,23.38,14.68
Healthy soybean,84.96,23.29,143,77.04,86.9,77.04,21.5,53.94,24.59,216.73,49.12,13.23,93.75,25.95,20.51,22.41,19.45,2.95,11.73,20.02,13.1
Healthy soybean,52.31,39.69,166.62,97.42,91.71,97.42,17.28,49.1,22.82,227.95,30.39,10.17,76.61,25.73,11.82,27.11,13.07,5.75,10.41,14.97,11.44
Healthy soybean,57,23.38,195.39,78.58,92.93,78.58,20.13,56.79,25.6,216,42.65,7.06,95.45,21.22,12.45,24.75,14.38,1.31,18.36,23.4,16.7
Healthy soybean,81.36,33.94,144.26,51.89,65.37,51.89,21.48,46.88,26.09,211,38.44,11.15,76.92,24.1,16.03,25.52,20.71,3.79,17.28,23.68,15.77
Healthy soybean,75.35,27.97,207.07,61.51,55.65,61.51,18.65,32.49,27.09,386.06,37.07,14.38,52.41,23.06,14.25,21.86,15.53,10.94,17.36,17.52,16.93
Healthy soybean,91.93,36.33,224.68,71.16,68.31,71.16,19.91,42.05,23.04,363.47,29.66,9.61,56.12,26.53,13.83,21.24,17.58,1.38,16.56,14.73,18.4
Healthy soybean,47.81,32.94,225.3,52.3,90.38,52.3,14.05,43.31,26.14,212,46.24,13.02,69.39,24.66,16.86,21.13,20.84,1.52,11.39,15.33,16.46
Healthy soybean,98.58,34.28,210.68,83.12,80.58,83.12,17,49,25.64,365.55,39.24,14.39,77.64,27.54,13.63,30.03,20.36,4.02,18.8,18.44,16.51
Healthy soybean,91.12,35.02,224.19,88.82,80.46,88.82,15.61,34.34,18.69,247.63,23.95,11.31,52.06,27.43,15.12,25.64,16.12,1.81,9.15,22.02,17.48
Healthy soybean,64.82,28.81,209.42,58.5,70.61,58.5,18.18,52.44,25.82,330,42.28,11.39,57.62,23.08,17.29,23.35,12.57,4.83,11.71,21.21,12
Healthy soybean,74.95,36.39,160.17,52.28,79.24,52.28,21.23,31.95,20.7,342.58,38.15,10.25,93.87,22.65,14.66,26.5,12.99,2.49,10.11,21.29,11.38
Healthy soybean,86.37,26.14,173.39,65.48,96.73,65.48,15.87,45.9,22.05,261.04,33.14,9.64,87.61,29.31,16.81,27.88,13.99,9.12,11.22,14.35,19.08
Healthy soybean,92.26,40.57,173.16,73.25,74.27,73.25,15.92,31.81,21.54,300,30.82,11.27,73.74,26.01,16.01,30.1,12.01,4.62,15.36,19.85,16.99
Healthy soybean,77.84,28.41,188.17,85.42,73.72,85.42,14.31,49.78,19.02,214.37,43.67,10.43,91.82,26.72,17.78,21.2,11.62,7.89,12.27,17.75,14.6
Healthy soybean,51.91,26.35,237.23,65.72,86.28,65.72,22.18,41.49,27.14,218.11,22.63,7.72,61.55,26.69,12.56,23.9,14.98,10.39,17.32,14.48,17.45
Healthy soybean,72.49,25.44,214.54,91.36,73.81,91.36,15.13,47.34,25.48,377.89,28.91,11.07,81.08,21.64,20.86,27.97,20.56,7.1,9.93,23.5,12.06
Healthy soybean,103.18,29.45,204.53,77,91.84,77,18.31,46.39,20.27,245,21.11,15.18,73.47,28.28,11.62,30.29,15.72,6.24,14.58,17.16,12.79
Healthy soybean,90.11,36.73,149,90.72,98,90.72,14.37,46.68,18,399.96,31,13.05,66.47,29.29,15.31,29.1,17.83,6.2,13.17,16.71,18.44
Healthy soybean,93,31.02,237.53,76.89,65.5,76.89,16.51,58.57,18.22,332,35.53,13.7,96.61,24.67,16.59,29.22,17.67,3.95,17.5,20.62,17.54
Healthy soybean,70.69,22.56,167.65,97,95.35,97,15.89,56.61,25.3,361,38.09,11.69,57.7,23.65,18.66,21.47,13.55,1.67,12.85,15.15,11.37
Healthy soybean,68.69,37.24,214,92,67.29,92,21.72,41.45,23.94,232.4,32.86,15.42,92.82,26.43,13.79,21.8,15.09,9.77,15.68,17.7,19.43
Healthy soybean,74.88,31.12,153.82,67.22,53.59,67.22,18.91,46.66,22.33,232.93,34.41,9.25,96.11,29.98,15.44,23.34,16.78,8.88,17.55,14.51,16.07
Healthy soybean,48.73,40.48,149.75,68.57,77.76,68.57,13.18,51.45,18.16,336.47,21.16,9.89,84.18,28.94,11.98,29.75,18.98,1.5,17.81,21.59,11.71
Healthy soybean,50.92,30.63,145.74,81.08,66,81.08,13.61,33.39,19.48,258.65,45.05,8.78,66.08,25.81,20.47,29.41,14.71,1.1,15.76,14.43,15.61
Healthy soybean,107.72,38.21,217.53,84.75,85.57,84.75,14.24,41.64,23.11,324.11,29.78,9.07,57.65,28.63,13.67,26.65,14.09,6.04,15.79,16.36,12.67
Healthy soybean,64.3,23.13,149.42,76.7,65.13,76.7,18.92,58.51,18.55,334,42.34,15.86,77.96,28.97,12.61,26.95,17.1,3.19,15.39,15.53,11.04
Healthy soybean,91.53,32.44,220.39,71.56,65.07,71.56,15.25,44.87,20.86,396.96,49.44,13.53,60.55,25.97,16.85,28.47,15.9,2.96,16.39,21.2,16.31
Healthy soybean,108.83,34.05,232.6,52.03,88.67,52.03,19.33,37.43,19.18,388.17,43.35,12.43,71.67,27.4,12.72,27.57,12.16,1.35,11.77,16.46,11.63
Healthy soybean,99.41,30.78,223.85,90.23,69.74,90.23,14.5,33.61,26.93,246.41,41.02,14.85,83.53,21.32,12.92,29.58,14.64,6.1,15.34,16.49,16.13
Healthy soybean,55.42,24.53,237.55,91.41,55.2,91.41,22.48,41.79,21.35,218.14,48.18,14.92,64.34,29.61,15.59,30.5,19.31,2.97,13.18,22.44,15.88
Healthy soybean,70.26,27.44,196.14,74.01,51.99,74.01,16.94,41.43,20.81,263.03,46.54,14.1,99.58,23.24,11.46,28.66,18.86,1.12,15.44,16.42,12.58
Healthy soybean,42.07,32.15,166.41,59.91,79,59.91,20.97,48.37,26.7,378.95,28.13,10.87,56.31,23.71,13.07,27.32,16.41,8.94,13.68,20.45,16.24
Healthy soybean,93.71,37.54,195.65,58.01,60.73,58.01,19.05,32.79,24.85,267.73,36.15,9.58,83.77,26.5,20.99,25.9,18.23,9.29,18.26,18.2,17.29
Healthy soybean,106.04,31.89,186.99,79.4,57.89,79.4,21.25,55.1,27.66,330.87,26.87,7.65,88.6,20.85,12.99,21.81,13.45,4.26,17.45,21.14,17.51
Healthy soybean,83.79,29.81,196.45,50.36,95.28,50.36,16.57,32.08,27.17,260.47,30.04,7.47,83.93,20.94,20.87,26.46,20.18,7.82,18.07,18.86,19.76
Healthy soybean,58.55,23.24,159.59,66.87,80.72,66.87,22.66,58.13,25.58,220.39,45.87,10.68,86.1,29.52,20.89,21.51,14.07,9.73,14.42,15.28,11.26
Healthy soybean,86.1,30.04,151.18,58.86,68.95,58.86,17.73,41.95,18.35,281,42.19,15.31,68.08,27.36,11.51,30.12,20.78,5.88,13.41,21.92,18.07
Healthy soybean,50.04,40.01,176.14,50.37,87.17,50.37,17.33,31.63,26.57,214.21,38.65,11.87,92,25.45,17.39,29.95,13.95,5.43,10.05,16.9,19.44
Healthy soybean,52.09,36.51,162.06,94.19,65.75,94.19,19.53,53.79,20.95,370.8,42.85,7.94,96.92,23.8,20.88,24.18,16.43,4.42,13.51,22.92,12.4
Healthy soybean,109.99,36.26,213,74,68.24,74,17.51,43.8,18.2,325.6,46.28,12.9,77.47,28.92,15.85,24.66,11.52,7.22,12.66,16.26,19.02
Healthy soybean,77,24.45,196.44,86.1,62.23,86.1,17.03,35.36,22.4,289.99,20.13,13.47,96.71,28.47,12.98,23.8,19.55,1.2,13.77,19.39,11.54
Healthy soybean,52.57,25.58,198.32,59,52.09,59,22.14,42.72,18.65,387.46,34.08,12.81,80.37,24.2,17.93,24.94,17.92,8.42,12.94,19.75,18.58
Healthy soybean,69.83,31.71,192.8,57.13,89.22,57.13,19.24,30.61,18.89,385.05,41.71,15.64,59,21.48,20.75,25.26,14.36,3.77,10.89,14.87,19.94
Healthy soybean,102.97,25.54,154,67.18,70.57,67.18,13.94,39.34,25.8,300.09,27.97,9.93,68.06,22.53,16.24,22.22,17.59,7.13,14.86,18.04,16.82
Healthy soybean,109.21,23.63,176.47,82.54,77.49,82.54,19.49,52.38,21.56,346,20.17,7.46,77.26,26.18,17.56,26.14,14.68,6.63,9.2,20.65,16.34
Healthy soybean,56.8,26.74,185.81,68.27,57.26,68.27,22.32,59.99,19.85,233.72,46.29,9.47,72.72,22.22,17.43,22.85,11.8,4.31,18.61,18.72,15.02
Healthy soybean,54.92,32.76,153.17,87.12,50.16,87.12,17.84,45.54,20.99,265.11,33.5,15.46,97.37,28.77,12.37,22.4,18.65,4.24,16.73,19.01,14.91
Healthy soybean,60.75,27.43,238,72.05,99.83,72.05,13.38,47.9,18.45,352.8,27.41,15.01,83.69,20.71,11.38,25.86,19.62,2.19,15.87,17.27,15.63
Healthy soybean,64.19,40,174,79.25,90.14,79.25,19.86,54.65,21.47,352.45,26.32,15.63,97,24.46,19.96,26.34,12.34,7.57,11.59,20.22,19.33
Healthy soybean,64,28.49,183.2,79.74,60.96,79.74,16.76,59.89,20.51,259.74,26.35,15.47,60.68,20.12,19.92,30.7,17.68,7.87,14.49,18.52,13.15
Healthy soybean,73.26,34.9,204.3,88.86,91.46,88.86,13.42,51.26,21.66,255,30.18,12.34,66.61,29.4,16.36,25.7,21.01,6.66,16.65,19.56,17.46
Healthy soybean,79.45,28.35,234.21,74.89,60.61,74.89,20.58,56.32,24.55,282.46,39.78,13.49,59.37,24.97,16.13,25.89,20.66,7.58,9.98,16.59,15.24
Healthy soybean,94.88,38.85,226.82,76.07,69.75,76.07,19.59,40.6,18.57,313.85,49.92,10.99,89.19,27.99,16.63,22.5,11.93,1.62,14.55,21.11,11.66
Healthy soybean,58.8,23.6,191.26,80,98.86,80,20.65,51.69,19.63,316.27,47.41,16,63.89,28.86,16.69,29.88,12.46,10.09,10.03,19.54,20.66
Healthy soybean,103.83,32.79,221.84,85.87,86.23,85.87,15.69,53.34,22.22,330.77,20.02,14.08,68.85,25.8,20,27.55,20.9,9.75,18.18,21.28,13.94
Healthy soybean,42.29,29.56,190.25,80.37,71.8,80.37,14.12,48.56,26.41,269.84,32.73,12.69,76,25.58,11.6,23.22,12.02,7.64,13.22,18.19,19.35
Healthy soybean,83,26.31,168.71,77.47,59.86,77.47,16.61,42.68,19.53,349.63,35.56,15.03,54.09,26.86,20.61,23.52,15.02,3.15,17.09,21.26,19.15
Healthy soybean,70.7,24.29,231.49,71.99,95.43,71.99,23.1,40.45,24.18,318.32,30.96,11.53,57.48,27.18,18.38,21.89,15.05,9.59,13.6,16.65,12.02
Healthy soybean,60.46,27.66,234.73,92.89,90.52,92.89,20.99,51.8,25.42,396.53,36.69,14.88,63.84,27.67,12.41,29.47,11.26,6.16,16.87,18.38,19.79
Healthy soybean,71.34,24.03,153.98,67,96.45,67,20.54,35.85,26.4,325,50.55,9.29,50.77,22.17,11.03,25.51,18.35,4.96,14.73,20.5,12.26
Healthy soybean,107.15,24.27,201.65,98.71,83.31,98.71,19.13,37.75,25.63,375.68,20.75,11.34,59.68,26.32,18.17,27.92,14.13,1.03,13.47,20.54,16.6
Healthy soybean,90.14,37.22,200.62,75.01,53.65,75.01,21.91,47.13,27.83,396,45.24,8.91,69.78,24.49,14.34,30.22,11.47,6.02,14.78,16.69,18.28
Healthy soybean,64.01,34.77,141.57,76.4,62.86,76.4,18.15,47.36,25.87,311.76,25.44,14.18,72.29,26.91,20.13,28.59,19.65,2.77,12.55,14.3,17.97
Healthy soybean,72.95,31.65,216.06,50.09,80.97,50.09,22.83,56.67,26.83,311.4,35.75,11.55,78.84,20.51,13.87,27.25,20.52,9.31,18.32,19.87,17.43
Healthy soybean,60.42,22.64,154.09,70.9,85.22,70.9,14.15,49.64,26.03,259.93,30.32,13.57,97.2,22.94,16.14,21.15,17.74,8.97,14.04,23.57,14.41
Healthy soybean,65.75,26.58,209.12,70.01,69.47,70.01,18.06,36.35,22.42,348.43,33.62,15.97,55.66,27.39,12.43,21.28,17.77,6.14,10.93,23.91,16.32
Healthy soybean,93.24,40.85,178.55,80.85,60.52,80.85,15.9,48.16,26.85,304,28.62,7.99,52.24,25.85,18.08,24.21,20.94,2.56,12.4,20.84,12.54
Healthy soybean,91.45,24.43,203.96,82.41,54.46,82.41,14.9,52.91,23.26,340.47,29.99,11.33,94.52,26.06,15.73,27.41,20.76,6.09,16.75,17.28,12.1
Healthy soybean,53.93,27.37,210.39,66.21,62.93,66.21,17.72,46.73,23.95,336.91,28.11,11.1,56.75,24.92,14.48,22.6,13.28,3.11,14.18,15.76,15.68
Healthy soybean,73.97,32.27,191.79,68.72,62.47,68.72,15.43,57.08,21.61,261,22.78,15.7,92.76,23.14,18.11,22.34,17.09,3.36,9.77,19.37,20.93
Healthy soybean,106.94,25.47,154.38,68.05,65.29,68.05,16.13,48.86,22.45,241.38,33.04,13.12,54.54,26.03,15.4,28.67,19.99,7.45,17.66,21.15,17.82
Healthy soybean,55.23,30.2,198.03,65.59,92.85,65.59,22.05,35.11,21.04,342.25,50.15,12.57,68.24,27.48,15.56,23.32,20.87,4.99,10.43,18.28,13.34
Healthy soybean,109.04,34.82,146.32,93.55,74.41,93.55,15.55,59.86,22.83,350.94,25.76,11.04,63.45,27.65,16.2,23.43,14.28,6.4,10.16,17,14.33
Healthy soybean,59.01,37.96,224,85.51,89.74,85.51,22.16,58.68,27.91,288,37.56,12.25,98.61,28.79,18.81,25.5,17.06,10.84,11.34,23.25,16.92
Healthy soybean,84.72,32.12,232.87,66.19,95.59,66.19,13.62,51.53,23.99,351.18,35.83,10.64,98.27,20.58,19.1,24.6,15.73,5.48,9.62,19.43,13.07
Healthy soybean,67,33.06,199.46,64.11,84.05,64.11,20.77,42.09,24.52,287.31,49.79,13.25,81.15,22.61,11.13,30.57,20.42,5.84,12.24,19.65,19.65
Healthy soybean,54.68,25.6,231.44,53.29,68.36,53.29,19.08,32.82,21.18,225,29.55,13.95,91.37,20.62,16.44,22.6,15.34,9.25,11.24,14.89,18.61
Healthy soybean,50.58,40.81,183.24,68.97,81.65,68.97,16.84,50.11,27.76,308.17,21.44,15.87,87.93,29.08,13.54,30.72,16.01,7.7,10.67,14.2,14.76
Healthy soybean,72.16,23.26,166.85,94.67,71.17,94.67,20.66,51.25,24.72,214.58,44.47,8.05,55.75,21.46,17.1,26,12.23,5.86,11.66,21.93,18.41
Healthy soybean,62.93,36.3,219.3,80.6,83.95,80.6,19.66,58.95,26.24,236.89,40.32,10.06,86.62,29.79,12.14,23.59,16.55,2.64,9.05,22.83,16.16
Healthy soybean,75,24.19,163.32,53.48,71.5,53.48,16.04,32.27,23.3,344.78,42.27,15.26,72.05,28.46,17.47,30.83,13.67,10.51,16.14,19.19,15.45
Healthy soybean,92.63,34.07,148.85,54.42,91.27,54.42,13.36,59.12,25.26,341.57,48.05,11.67,58.81,28.45,13.05,21.7,17.7,1.93,16.11,16.27,18.18
Healthy soybean,97.28,34.51,175.57,62.1,67.26,62.1,22.6,30.13,19.97,321.75,33.35,11.64,86.29,23.26,18.68,21.17,13.08,1.59,12.39,17.17,16.56
Healthy soybean,72.53,25.82,220.77,92.83,65.53,92.83,20.83,37.7,26.77,212.16,46.62,8.9,69.3,24.63,16.49,22.74,11.03,2.51,10.44,18.5,20.92
Healthy soybean,82.48,34.3,185.99,94.24,95.74,94.24,18.11,56.71,25.29,268.35,21.24,14.67,69.6,24.04,14.97,29.48,16.51,1.97,12.42,20.19,14.59
Healthy soybean,78.65,33.71,162.61,57.7,85.54,57.7,17.97,35.09,23.33,210.31,45.75,7.6,76.91,24.3,13.6,29.56,18.12,5.5,9.39,18.1,19.25
Healthy soybean,101.53,40.83,210,77.21,85.52,77.21,19.16,58.07,23.36,261.63,36.42,15.95,62.56,23.89,13.49,22.33,14.21,1.47,10.81,14,15.98
Healthy soybean,52.07,39.12,175.89,86.62,69.05,86.62,14.69,31.14,19.31,314.35,23.07,13.55,73.88,27.88,19.26,22.3,16.85,5.46,13.31,15.47,19.41
Healthy soybean,84.02,22.92,183.82,69.26,52.03,69.26,16.39,58.08,27.63,224,25.21,13.86,59.88,22.11,19.21,22.1,16.62,6.22,12.04,20.97,12.51
Healthy soybean,71.1,25.62,176.04,89.05,81.91,89.05,14.92,35.59,25.18,334.12,31.95,7.45,78,25.75,15.5,23.84,13.91,3.24,11.68,22.77,12.37
Healthy soybean,92.93,23.35,172.86,95.53,60.1,95.53,16.96,36.54,25.11,274.24,34.32,7.15,97.4,24.38,16.23,22.9,16.81,9.7,13.24,23.18,18
Healthy soybean,72.64,26.9,154.56,87.6,57,87.6,19.76,37.19,22.77,301.93,46.12,13.46,55.09,25.71,16.22,26.72,13.18,2.68,11.42,23.66,19.98
Healthy soybean,45,23.3,179.77,60.17,96.41,60.17,18.98,37.32,22.98,222.3,20.77,11.48,63.11,28.68,15.58,27.8,20.16,10.53,16.59,19.68,16.37
Healthy soybean,100.8,27.81,219.61,57.67,91.77,57.67,20.86,45.67,22.46,382.26,47.58,16.46,65.52,27.38,19.73,28.46,14.05,7.75,14.93,19.02,16.91
Healthy soybean,94.92,31.69,211.81,80.44,96.16,80.44,13.2,44.38,25.99,226.73,41.93,13.39,51.82,28.44,13.91,26.55,16.23,7.06,15.58,20.14,12.05
Healthy soybean,69.59,34.5,188.01,73.85,64.44,73.85,19.19,53.58,22.6,216.81,43.76,10.26,53.84,27.13,13.58,27.33,16.02,1.21,10.38,16.12,18.88
Healthy soybean,99,34.23,218.51,74.12,78.6,74.12,21.31,33.86,25.13,400.4,50.51,13.72,75,22.39,14.17,21.75,16.71,5.02,10.78,19.34,14.4
Healthy soybean,77.15,28.64,214.09,62.97,64.29,62.97,14.21,50.43,22.96,255.42,33.51,11.13,80.58,24.4,16.65,29.9,17.84,2.6,17.13,21.05,16.62
Healthy soybean,99.92,32.52,177.98,50.53,97.91,50.53,15.63,43.55,20.53,377.6,23.22,11.81,52.61,22.23,16.57,25.2,17.99,10.93,14.17,22.28,16.21
Healthy soybean,52.66,26.61,164.33,80.89,63.48,80.89,19.96,53.16,20.48,232,31.75,10.55,53.16,23.7,17.27,23.21,12.04,1.17,17.67,19.14,15.4
Healthy soybean,77.09,23.03,170.05,57.48,52.79,57.48,18.55,50.73,27.84,274.03,25.29,10.6,60,27.24,20.48,24.2,20.33,10.27,10.92,18.4,14.23
Healthy soybean,93.94,28.52,152.41,83.14,61.66,83.14,17.46,49.44,21.07,257.02,49.45,16.44,53.21,22.02,18.24,23.98,15.76,8.77,18.98,17.35,16.5
Healthy soybean,87.54,24.59,165.12,80.75,94.65,80.75,17.16,49.71,25.37,335.66,45.46,10.9,77.13,28.41,17.62,23.54,14.51,4.89,13.67,15.05,13.59
Healthy soybean,98.61,26.06,175.82,63.45,77.6,63.45,13.98,59.43,18.67,399.63,22.61,8.44,73,25.29,14.45,22.63,14.04,10.35,9.83,14.14,14.65
Healthy soybean,85.22,40.89,174.01,79.43,78.47,79.43,18.47,40.92,24.36,263.85,29.9,9.18,93.63,26.81,18.89,21.16,18.02,8.82,9.4,18.35,12.17
Healthy soybean,103.36,39.23,189.73,63.38,97.54,63.38,20.09,48.44,24.97,255.05,41.11,12.46,76.78,20.3,19.59,24.29,13.58,1.69,16.82,18.68,11.06
Healthy soybean,89.66,28.53,205.23,82.5,87.11,82.5,21.65,57.24,24.98,301.57,26.23,7.69,77.3,25.67,20.6,21.22,16.25,10.77,15.07,20.18,12.41
Healthy soybean,82.11,31.39,164.27,84.83,57.91,84.83,19.4,52.52,19.29,315.97,30.19,12.3,90.12,29.78,15.27,27.65,19.23,6.46,15.13,16.31,18.87
Healthy soybean,67.26,36.03,218.87,62.51,97.7,62.51,21.83,53.92,27.96,276,42.35,10.71,84.3,23.99,18.7,23.67,16.09,4.92,13.75,23.88,12.91
Healthy soybean,97.9,31.34,180.72,53.95,83.22,53.95,18.46,59.24,27.86,259.11,33,16.87,80.85,23.45,15.15,29.68,14.15,7.79,16.83,14.74,11.86
Healthy soybean,103.91,40.86,180.9,62,54.22,62,20.46,31.48,19.86,369.69,24.71,9,77,29.75,12.57,25.6,14.53,5.14,16.84,16.8,19.88
Healthy soybean,79.14,24.84,218.09,87.78,68.45,87.78,19.79,36.08,23.91,342.96,29.54,12.18,68.05,26.55,18.61,21.36,16.58,7.17,12.73,21.5,20.58
Healthy soybean,63.78,36.1,191.03,69.24,61.91,69.24,17.89,47.26,23.05,312.82,35.1,7.82,99.38,29.56,19.66,23.95,20.69,9.18,10.06,17.39,20.68
Healthy soybean,58.18,29.39,206.45,69.78,55.17,69.78,16.18,46.24,19.17,353,43.94,15.09,57,25.79,14.53,22.24,17.22,3.14,17.6,21.03,11.47
Healthy soybean,56.98,35.92,174.89,66.7,98.21,66.7,21.12,54.72,23.74,359,49.55,7.03,73.21,26.63,17.96,25.33,19.68,5.67,11.03,17.83,14.8
Healthy soybean,97.36,30,203.62,83.43,85.83,83.43,22.41,42.46,20.21,366.15,23.88,11.35,66.87,26.98,17.07,30.82,18.08,8.61,13.53,21.17,12.96
Healthy soybean,90.26,31.32,219.73,85.61,75.84,85.61,22.29,42.95,20.52,242.74,48.41,7.24,50.8,20.28,20.66,28.1,11.7,3.71,14.46,19.93,17.55
Healthy soybean,62.76,24.16,232.22,60.49,74.69,60.49,15.85,33.73,19.83,213,32,16.23,83.61,23.19,19.49,28.63,20.44,3.48,18.37,23.84,11.43
Healthy soybean,94.93,29.78,149.2,75.47,70.66,75.47,16.43,30.31,19.78,236,44.91,14.91,92.96,20.7,19.04,28.74,15.25,9.83,13.45,16.03,19.69
Healthy soybean,85,36.22,194.89,84.61,87.84,84.61,14.6,46.52,18.59,298.23,44.45,8.17,57.26,21.8,16.62,26.89,18.96,3.89,10.53,19.2,14.94
Healthy soybean,91.68,38.58,221.48,90.28,61.65,90.28,16.03,44.23,19.8,291.2,43.49,12.75,97.34,26.64,16.39,26.45,12.64,9.04,11.69,15.17,17.72
Healthy soybean,91.4,26.76,196.9,99.75,68.33,99.75,16.81,34.3,19.5,362.19,46.97,16.73,87.21,25.48,13.93,28.21,14.03,7.85,15.43,19.42,20.3
