,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,38.29,20.93,99.86,12.1,49.54,24.29,6.93,29.64,11.61,181.71,17.12,18.32,28.21,13.02,8.85,18.57,4.61,27.25,83,5.77,6.41
Infection plant,37,13.49,137.15,43.99,31.56,25.39,4.35,29.94,10.79,156.02,11.78,26.82,20.27,19.85,10.82,14.79,7.42,89.44,86.37,6.04,10.15
Infection plant,33.16,17.53,131.98,39.41,37.46,16.75,4.38,29.89,9.69,204.91,8.58,21.36,26.99,16.88,7.43,20.06,10.04,28.17,88.67,13.53,7.87
Infection plant,34.05,21.56,120.61,46.57,27.88,23.5,12.56,20.01,16.14,191.75,12.35,26.6,18.43,10.28,2.1,13.79,7.77,67.35,60.19,12.47,7.83
Infection plant,31.95,14.17,119.94,47.58,26.72,16.04,3.84,21.79,17.03,128.12,11.03,25.26,26.06,18.14,10.51,18.06,4.33,73.85,23.14,11.77,4.18
Infection plant,39.53,18.89,125,14.7,22.7,20.74,6.81,16.49,8.14,160.05,15.56,26.22,21.29,14.77,4.53,16.77,10.15,55.33,43.75,8.45,1.82
Infection plant,32,21.99,136.32,17.19,45.51,20.57,4.26,20.13,8.11,181.38,15.62,23.38,29.71,17.26,5.06,17.15,7.28,51.01,62.98,9.71,4.44
Infection plant,35.89,19.89,80,23.21,40.47,24.41,12.17,16.61,11.4,110.31,12.29,22.3,15.65,13.98,3.03,13.69,1.91,97.69,55.07,12.26,1.99
Infection plant,39.7,14.42,123,48.36,48.14,16.35,6.37,27.81,10.53,160.8,18.58,23.22,34.38,11.01,9.1,12.01,6.1,60.31,50.17,11.07,9.83
Infection plant,37.38,14.23,121.56,30.58,47.05,24.68,3.23,28.19,14.98,143.89,12.82,23.17,44.51,10.15,5.21,14.56,10.83,94.15,98.91,12.17,5.12
Infection plant,37.22,15.96,91.28,21.07,46.83,21.05,12.44,24.66,13.14,151.82,10.52,21.79,14.75,14.72,5.49,16.11,1.95,73.22,55.43,8.82,1.09
Infection plant,38.36,13.88,123.1,26.83,31.6,24.49,11.48,14.36,17.2,142.36,15.01,26.87,36.48,15.85,9.18,11.06,4.35,63,93.76,5.48,4.37
Infection plant,33.17,21.16,98.42,41.32,43.43,22.8,4.53,29.25,10.31,203.59,14.37,25.56,12.07,11.91,7.5,18.09,10.63,50.75,55.89,4.71,3.78
Infection plant,34.17,20.01,127.6,14.43,26.94,24.48,4.72,23.83,11.06,172.97,19.43,26,37.7,15.23,8.05,11.71,1.98,39.62,40.85,9.72,10.79
Infection plant,35.14,12.59,97.87,47.79,20.19,17.75,7.94,14.18,16.67,182.15,8.17,25.3,10.53,10.19,10.64,15.46,5.99,34.72,35.04,4.47,2.22
Infection plant,35.04,17.75,123.04,46.52,48.31,16.93,4.24,18.11,11.36,169,14.03,19.38,12.1,17.24,4.44,18.01,1.56,45.56,29.5,13.55,4.15
Infection plant,30.62,12.2,122.1,19.66,36.36,18.92,11.45,18.14,9.62,115.21,13.66,23.63,26.67,14.07,5.24,17.17,3.61,25.11,29.53,10.17,2.99
Infection plant,34.08,19.98,126.33,27.81,24.42,17.71,10.45,16.27,17.98,195.43,12.72,22.21,48.74,12.92,4.17,16.09,9.13,83.98,54.1,13.14,10.62
Infection plant,32.97,19.18,125.25,15.21,36,17.84,9.25,18.48,9.07,136.1,9.06,24.79,25.65,19.48,5.62,20.14,1.33,88.89,45.65,7.38,8.96
Infection plant,31.46,21.42,89.94,23.74,32.25,17.65,10.68,29.05,8.95,197.33,8.47,23.83,15.17,10.12,5.14,18.08,2.58,76.77,59.88,11.22,9.09
Infection plant,39.98,15.55,134.23,46.97,38.34,22.38,6.71,20.74,17.74,171,8.11,26.36,15.96,19.9,7.94,17.22,4.36,69.57,53.64,5.47,7.28
Infection plant,31.09,19.04,80.21,18.62,27.47,25.36,5.02,16.65,14.93,195.05,13.24,21.11,41.06,14.09,1.1,18.48,4.94,55.31,78.96,12.54,10.54
Infection plant,33.84,18.44,81.25,46.77,24.16,22.62,5.88,25.51,9.11,181.81,13.83,24.31,25.1,10.04,10.41,16.69,8.83,28.85,52.84,6.86,8.88
Infection plant,30.14,19.48,104.66,15.51,34.47,23.93,11.01,22.67,17.43,202,10.51,23.31,20.92,14.78,8.9,13.01,7.25,60.42,56.19,11.57,8.75
Infection plant,36.47,13.97,128.5,18.67,38.83,18.97,12.67,25.37,13.43,162.65,9.83,25.97,35.37,12.01,2.16,16.13,1.57,97.43,31.83,6.05,7.77
Infection plant,32.87,15.45,80.43,36.55,23.19,23.46,4.92,25.64,12.27,163.88,10.16,20.83,35.73,18.06,3.69,16.41,7.23,79.33,23.83,5.3,9.51
Infection plant,35,20.62,93.41,27.45,39.56,23.97,11.19,23.29,17.66,208.87,10.69,26.18,36.68,11.79,6.92,17.26,5.57,32.41,57.41,12.82,3.85
Infection plant,35.91,15.48,134.94,15.05,31.3,17.91,9.41,26.65,9.19,200.3,8.23,20.45,28.51,18.97,10.04,20.43,2.28,55.66,21.83,9.14,9.65
Infection plant,39.77,20.87,95.72,29.08,27.28,20.73,7.31,28.25,10.36,179.4,11.52,25.99,15.73,12.45,1.57,14.64,8.88,28.46,70.02,12.21,3.66
Infection plant,36.26,12.51,108.41,11.76,25.76,24.42,8.96,14.28,17.86,152.39,16,25.59,36.21,12.15,8.91,17.61,2.44,60.68,30.49,9.2,10.51
Infection plant,38.83,12.91,132.85,38.93,45.83,16.83,9.35,25.79,11.05,178.66,18.54,20.73,28.58,13.75,9.37,17.4,7.2,75.83,97.13,5.38,5.06
Infection plant,39.71,13.73,111,26.06,47.69,25.37,12.61,29.33,17.8,122.84,10.09,24.9,45.62,11.81,9.19,20.28,6.08,82.31,66.52,8.16,10.98
Infection plant,31.81,14.15,135.15,27.79,25,24.47,6.61,18.69,14.97,126.53,11.4,22.76,16.02,12.61,10.68,15.08,6.36,60,84.97,11.17,7.92
Infection plant,39.08,13.21,96.12,24.21,38.99,23.73,9.42,14.22,13.58,177,12.06,17.66,28.54,14.39,5.98,13.42,2.68,68.42,27.77,7.1,10.36
Infection plant,38.85,12.44,91.62,20.27,48.52,19.5,10.97,15,15.84,185.9,12.42,23.23,25.87,16.59,4.38,19.09,6.01,96.41,55.42,4.85,7.18
Infection plant,38.81,12.64,123.34,47.61,22.37,20.83,5.04,19.7,16.18,183.17,11.53,26.65,27.63,19.62,5.59,12,4.42,66.02,39.82,7.51,4.71
Infection plant,35.57,12.04,121.22,47.3,45.84,18.71,7.69,28.31,10.57,158.98,12.74,21.66,45.93,17.84,2.12,14.01,2.25,43.52,20.62,10.16,7.85
Infection plant,32.7,20.2,118.06,13.47,21.75,17.87,6.34,17.98,12.74,173.32,9.38,22.9,45.64,13.91,7.78,14.99,10.59,44.59,65.21,6.98,4.24
Infection plant,36.44,13.14,130.1,11.51,37.74,18.72,5.74,25.67,12.86,137.88,14.33,23.32,21.59,16.06,4.28,18.63,8.1,80.07,97.92,10.12,10.7
Infection plant,32.17,13.07,107.56,41.17,26.22,19.94,3.2,29.42,13.1,161,10.2,18.42,39.37,19.44,9.33,17.34,4.3,31.12,25.83,9.73,7.65
Infection plant,32.93,19.26,124.28,46.7,39.17,22.26,7.1,15.51,17.78,122.26,16.43,17.17,29.49,16.76,7.22,17.16,7.61,55.64,76.3,7.98,3.51
Infection plant,34.92,15.26,135.52,47.94,48.77,19.99,11.83,27.94,9.8,124.81,11.61,23,40.74,18.82,5.82,16.58,4.12,53.76,91.33,9.42,9.71
Infection plant,38.49,12.98,128.53,20.97,49.63,17.52,5.99,27.69,11.51,144,8.21,23.28,34.89,12.62,8.44,15.05,9.45,67.5,50.58,8.19,8.42
Infection plant,37.06,18.38,133.82,20.93,49.75,21.16,11.07,23.32,9.42,207.35,17.34,18.45,34.19,12.5,9.79,13.61,8.7,85.62,55.37,5.95,3.45
Infection plant,39.18,18.41,124.65,43.36,47.23,25.58,9.59,29.78,14.41,144.75,12.18,24.18,25.13,17.28,4.85,13.39,2.3,55.14,19,11.59,5.48
Infection plant,32.69,14.28,97.19,35.98,39.83,18.64,3.41,14.74,11.08,144.81,17.44,25.14,26.91,11.78,7.23,11.53,8.17,56.45,31.39,9.3,2.02
Infection plant,33.37,15.76,136.89,16.83,27.91,25.32,12.1,23.52,12.68,171.11,8.43,21.76,43.51,11.43,4.7,14.39,1.62,55,24.71,12.98,5.98
Infection plant,31.58,21.66,98.85,16.11,44.71,19.95,5.47,25.35,10.13,194.43,8.99,26.12,27.05,14.11,8.96,15.2,1.96,44.45,54.49,8.69,1.59
Infection plant,35.6,17.09,102,11.68,38.18,19.25,6.67,29.87,15.76,207.18,18.71,20.98,25,13.6,5.63,16.47,6.69,33.82,75.97,11.62,6.99
Infection plant,34.2,14.8,99.22,45.49,37.96,23.56,10.16,18.93,14.32,133.76,11.22,22.75,49.99,10.85,5.95,15.28,6.86,81.49,46.55,10.47,3.81
Infection plant,39.52,15.88,90.63,39.7,24.36,22.28,4.84,19.12,14.22,141.79,10.91,25.78,48.03,18.75,3.39,11.74,9.89,80.17,24.53,7.56,2.85
Infection plant,37.74,18.5,128.86,46.58,45.42,17.69,5.09,24.38,13.24,178.49,14.23,20.57,43.82,13.05,4.23,13.89,4.17,14.87,79.95,10.8,4.76
Infection plant,31.87,19.06,122.22,49.52,28.17,20.99,11.14,26.14,13.3,182.4,14.84,20.41,10.02,18.63,2.54,19.68,10.03,36.68,30.28,10.92,3.4
Infection plant,38.28,14.36,81.03,45.89,38.04,21.84,4.5,21.3,16.88,146.03,10.87,26.25,33.8,12.74,4.54,19.53,5.38,55.91,85.48,4.5,9.45
Infection plant,31.45,14.38,114.11,46.3,20.07,24.67,12.21,26.29,12.21,112.69,12.09,21.09,18.38,10.14,8,11.18,9.12,78.64,20.03,13.64,10.05
Infection plant,38.51,17.76,85.64,46.6,28.9,21.64,11.52,20.49,14.06,165,15.77,20.7,20.68,11.15,6.34,18.44,10.06,25.29,53.52,7.16,9.16
Infection plant,33.38,12.24,106.45,25.31,27.81,18.12,9.65,28.81,13.02,162.56,19.57,17.42,43,10.08,8.63,18.83,5.05,51.51,91.58,11.99,10.71
Infection plant,35.72,19.57,126.29,22.85,30.05,16.95,7.02,26.1,8.46,185.45,10.72,21.73,22.14,17.65,4.56,20.02,1.4,24.93,99.82,11.83,1.32
Infection plant,35.73,19,82.65,36.64,35.95,21.94,3.93,20.82,13.31,205,10.18,26.2,35.9,14.8,10.23,17.44,5.87,35.53,97.48,7.27,6.84
Infection plant,31.5,15.32,108.97,15.17,42.68,22.58,8.85,20.42,16.89,162.82,10.37,22.16,22.08,18.34,3.85,11.32,8.85,54.14,81.87,7.54,6.79
Infection plant,31.22,13.52,124.66,37.47,46.86,23.21,10.29,16.14,14.12,205.31,14.54,19.49,48.38,13.45,9.83,14.85,6.71,90.27,54.89,12.59,9.02
Infection plant,34.04,17.86,89.27,12.91,33.04,20.55,10.87,22.53,11.6,168.5,13.44,17.22,25.31,17.13,2.6,14.59,2.71,87.39,29.29,7.99,6.49
Infection plant,39.44,14.59,127.42,25.28,39.04,25.46,8.19,29.99,9.37,127.12,12.12,26.16,38.37,11.47,9.6,14.07,4.14,61.25,60.11,4.98,1.03
Infection plant,32.2,15.17,111.15,41.77,23.78,16.4,10.36,18,14.81,188.02,10.3,25.98,28.08,10.35,2.8,12.47,1.83,17.05,24.94,7.29,1.98
Infection plant,36.35,16.68,83.19,17.07,24.37,24.95,7.01,16.56,17.64,128.2,11.09,25.65,47.31,12.56,1.84,12.4,2.5,62.57,56.53,11.13,1.69
Infection plant,35.53,17.41,86.31,18,47.96,23.33,3.32,18.92,13.56,140,9.68,17.97,40,11.69,9.61,15.17,1.67,80.09,20.36,11.53,10.86
Infection plant,30.2,17.26,97.27,18.63,31.57,22.27,5.84,16.83,16.97,145.9,19.1,21.67,18.68,17.76,6.4,12.84,3.63,72.62,22.3,7.08,10.14
Infection plant,38.99,13.18,92.57,47.23,38.64,17.78,11.98,22.58,17.52,206.03,15.29,23.05,46.33,12.26,1.37,16.01,9.66,56.19,42,8.81,6.95
Infection plant,37.13,16.69,91.86,46.65,29.49,20.37,5.44,28.57,10.72,112.83,15.63,19.92,10.55,11.54,9.13,14.03,4.84,44,73.98,6.29,4.41
Infection plant,35.06,17.98,136.33,48.26,38.08,20.03,8.16,25.55,8.36,149.06,10.28,22.81,45.79,11.74,3.55,12.35,2.19,93.23,35.93,6.91,7.86
Infection plant,37.92,17.14,110.19,28.21,37.87,16.28,7.03,22.66,17.7,185.04,12.79,17.74,47.46,15.68,1.44,16.36,7.74,49.8,55.51,6.83,10.09
Infection plant,31.52,18.43,125.87,21.96,28.42,25.45,8.61,18.44,8.28,128.29,9.34,24.71,25.12,17.61,9.73,11.38,8.97,31.33,84.16,7.19,1.95
Infection plant,37.99,18.77,134.68,27.53,37.93,16.96,6.17,29.62,14.61,199.35,12.51,22.28,17.03,12.33,1.25,18.17,3.5,80.72,63.66,13.48,4.21
Infection plant,33.62,17.25,82.17,37,29.6,25.89,7.86,27.93,15.93,137.43,12.13,21.89,14.5,10.82,2.98,14.88,10.88,41.34,30.66,8.43,4.46
Infection plant,37.97,14.06,114.2,24.41,47.46,19.7,5.89,21.42,9.31,208.47,15.89,17.31,24.28,10.92,3.27,17.27,3.3,72.05,37.35,5.44,6.77
Infection plant,30.28,19.92,102.31,22,31.09,16.66,5.93,16.07,12.48,163,14.44,23.48,36.06,13.1,4.93,17.98,5.79,52.15,35.3,13.31,1.06
Infection plant,37.47,13.45,131.28,45.43,37.79,18.96,6.21,26.21,13.37,166.14,12.05,20.68,22.16,19.61,4.07,17.65,9.17,72.36,73.49,10.94,10.28
Infection plant,36.49,12.95,106.79,25.21,39.54,20.05,4.89,22.19,15.14,192.49,8.78,21.15,45.89,17.6,9.88,14.48,2.45,29.06,79.44,9.1,4
Infection plant,36.64,20.84,101.06,31.47,25.96,24.36,10.1,27.45,13.79,149.66,13.75,24.63,46.4,17.19,9.36,20.42,4.15,50.23,55.73,6.59,1.02
Infection plant,31.64,17.59,92.42,11.09,24.94,17.73,9.18,18.74,15.15,131.19,19.59,19.23,35.19,13.49,5.13,15.43,9.98,46.01,78.56,7.87,10.18
Infection plant,37.71,17.43,95.45,28.08,27.18,21.89,3.34,26.71,12.95,199.1,9.5,19.66,16.11,18.5,2.04,17.49,4.11,83.18,76.57,11.65,8.74
Infection plant,36.11,18.03,109.34,40.16,47.49,23.39,3.42,21.18,11.32,136,13.53,25.05,31.12,11.72,1.18,19.08,3.79,44.33,81.07,6.69,2.7
Infection plant,38.84,21.64,93.37,28.9,49.27,21,9.84,20.9,17.81,174.19,10.49,20.88,42.96,15.61,5.04,16.81,3.66,37.44,58.39,6.58,7.72
Infection plant,39.13,15.12,122.34,34.88,36.38,22.89,10.99,24.48,14.51,173.03,11.37,25.37,19.09,11.82,10.97,20.51,1.02,41.39,30.56,8.48,8.95
Infection plant,36.81,16.06,127.94,16.74,38,24.89,6.16,19.17,12.45,197,13.74,17.64,26.6,12.98,4.1,12.18,7.56,30.38,58.99,8.86,1.51
Infection plant,32.49,14.56,90.27,27.98,28.02,16.43,12.81,20.58,17.1,146,10.7,25.12,49.33,13.09,6.47,17.76,8.46,60.67,81,9.45,2.62
Infection plant,36.12,12.88,118.23,16.88,49.42,22.39,3.65,19.36,17.06,123.56,12.48,17.23,38.15,12.05,7.48,16.97,6.46,72.43,53.59,11.24,8.78
Infection plant,38.87,17.88,80.77,18.38,48.86,23.49,6.01,28.09,14.88,147.03,13.89,18.92,39,11.61,7.29,12.95,2.01,16.23,41.05,7.36,9.8
Infection plant,39.94,19.72,129.79,20.09,33.35,16.82,10.3,22.06,12.35,209.28,12.21,26.04,16.6,18.88,7.91,13.29,9.47,92.68,63.52,9.29,9.17
Infection plant,34.01,20.06,137.61,21.1,40.55,21.11,3.39,27.44,13.39,190.37,16.65,22.47,36.58,13.97,7.92,11.14,1,58.06,58.25,12.97,7.61
Infection plant,30.03,20.95,82.72,31.59,21.99,22.59,12.13,19.44,15.08,141.47,9.85,24.64,25.14,12.07,5.66,19.78,1.05,83.46,73.89,11.33,9.92
Infection plant,36.51,21.91,80.37,16.24,47.31,20.58,11.7,24.8,14.91,184.44,11.25,18.86,47.33,17.22,4.81,14.41,7.6,56.12,57.49,12.99,1.1
Infection plant,30.87,16.91,131.11,32.39,48.35,19.31,3.97,23.76,11.15,137.53,14.36,26.98,28.46,17.06,2.55,13.97,3.85,29.56,69.53,9.61,2.09
Infection plant,34.39,15.34,133.15,47.88,28.6,20.46,9,23.02,13.44,115.72,14.14,19.24,28.98,18.46,2.75,18.82,2.27,55.5,23.52,13.94,4.61
Infection plant,35.19,21.24,128.75,36.86,30.63,22.72,6.95,22.14,9.58,161.82,15.99,17.5,16.21,11.8,10.66,15.15,10.8,78.93,81.84,5.69,7.19
Infection plant,36.09,17.08,115.26,27.46,20.28,21.34,11.39,15.53,10.19,175.66,11.99,21.16,39.52,19.35,9.5,11,3.7,61.91,92.73,8.58,1.14
Infection plant,34.63,17.27,125.37,37.96,38.11,19.34,10.85,29.44,8.94,209.52,19.17,25.28,36.47,19.18,4,19.57,1.69,20.28,45.88,4.57,3.14
Infection plant,33.33,17.52,123.94,10.71,40.67,18.19,5.31,21.16,16.61,148.48,16.71,17.79,38.16,15.64,6.32,12.1,1.11,78,24.76,12.67,9.43
Infection plant,33.11,12.03,137.41,24.09,39.31,20.71,5.22,17.64,14.48,190.68,11.41,24.21,49.64,19.14,3.67,18.55,6.75,25.69,43.26,8.2,2.43
Infection plant,39.68,12.65,122.6,32.14,35.44,25.09,5.21,21.47,16.98,141.8,11.89,25.68,48.3,11.26,4.02,12.13,4.89,46.66,30,7.91,3.41
Infection plant,34.29,15.71,112.38,40.83,42.74,19.21,11.84,27.19,11.89,118.39,12.57,20.95,13.97,12.93,4.98,20.61,10.68,79.27,28.86,10.56,10.35
Infection plant,35.26,18.54,81.08,19.04,46.69,21.86,8.45,23.05,8.7,129.9,13.4,26.03,19.4,17.89,5.38,16.38,9.37,81.42,75.41,9.58,2.27
Infection plant,30.19,14.47,113.83,22.67,29.5,20.9,5.79,29.59,15.7,119.6,15.4,18.38,47.19,11.42,1.55,18.67,4,33.2,78.3,10.37,5.9
Infection plant,36.83,14.31,99.94,36.71,20.04,16.53,4.06,25.29,11.58,117.88,14.04,18.93,11.59,17.03,6.97,15.65,7.24,84.84,89.87,12.74,10.21
Infection plant,37.55,16.72,88.75,49.49,34.79,17.31,11.15,23.82,14.86,177.6,19.63,21.45,44.5,17.71,5.86,16.35,7.47,50.95,56.01,8.08,10.52
Infection plant,31.3,18.08,127.31,34.38,27.27,17.25,7.43,15.32,9.71,206.56,15.13,22.74,26.38,10.01,10.39,16.48,9.93,60.85,54.71,4.4,8.32
Infection plant,34.33,18.21,107.12,17.44,26.53,17.62,8.71,27.32,10.88,116.69,18.32,22,28.01,19.76,9.07,16.59,7.85,16.06,29.99,10.44,3.79
Infection plant,31.13,16.31,127.03,16.69,36.63,16.73,12,24.95,8.8,158.76,11.23,18.5,10.48,12.11,6.11,15.87,6.61,65.52,54.95,10.69,5.24
Infection plant,34.61,21.15,83.6,48.49,48.27,24.51,12.62,24.36,10.87,204,18.25,26.19,47.61,18.29,5.9,12.93,4.24,27.21,54.98,7.9,3.76
Infection plant,32.64,20.75,89.47,17.66,27.32,25.03,12.06,18.41,15.89,203.41,11.34,26.75,35.96,17.46,10.38,13.31,4.51,47.84,82.53,6.54,5.28
Infection plant,39.58,21.11,131.84,33.43,39.44,24.45,5.73,14.26,10.37,128.69,9.39,22.64,18.12,10.1,1.24,11.02,9.27,80.86,25.85,4.44,6.26
Infection plant,35.4,13.19,98.77,39.24,32.39,17.09,4.82,14.96,11.52,176.01,18.84,23.59,41.35,13.65,5,17.37,10.49,19.7,77,5.43,9.81
Infection plant,31.28,16.37,82.11,38.37,40.97,17.18,3.52,17.9,17.36,152.44,10.56,21.19,48.26,14.06,8.88,18.26,10.87,55.13,21.2,11.2,9.99
Infection plant,37.26,21.07,87.23,26.18,40.77,18.18,7.58,22.63,10.59,203.51,11.33,21.04,48.88,13.41,2.47,16.46,2.49,45.5,54.58,6.17,6.21
Infection plant,35.01,13.22,102.92,18.41,32.17,18.25,4.61,26.51,12.12,186.61,12.2,24.06,14.52,10.73,8.74,13.41,1.54,69.1,41.49,5.31,7.51
Infection plant,34.12,19.77,95.5,29.83,29.89,16.78,6.27,29.57,16.53,200.09,10.01,25.67,39.24,13.68,5.45,17.64,1.28,41.13,79.33,12.52,6.82
Infection plant,35.03,16.76,90.93,29.22,44.27,18.14,3.79,26.74,13.74,163.26,8.57,24.47,25.64,18.98,2.37,11.6,5.02,64.06,27.78,6.77,7.57
Infection plant,30.89,16.42,131.03,45.93,35.92,25.04,9.57,18.39,8.24,129.28,12.56,17.49,22.67,12.79,1.47,19.59,4.47,31.79,57.15,8.78,2.57
Infection plant,39.79,19.6,91.82,26.72,22.56,24.78,11.32,24.14,16.16,119,10.34,17.9,44.73,18.37,1.86,11.88,4.72,85.04,97.77,9.88,9.06
Infection plant,34.37,16.93,95.47,29.31,36.7,20.96,9.95,19.57,13.81,135.24,13.81,19.82,14.23,14.04,5.27,20.77,6.53,69.24,26,7.53,1.27
Infection plant,38.01,16.92,134.08,35.4,49.76,22.07,12.52,21.1,16.94,174.16,11.98,19.05,28.49,13.07,9.98,18.87,7.53,60.32,35.66,10,3.82
Infection plant,33.03,13.57,128.12,18.68,31.24,16.77,11.61,15.52,16.68,135.08,12.34,21.13,16.47,16.93,3.57,15.32,10.34,74.24,56.82,5.91,3.9
Infection plant,33.5,15.06,122.98,13.4,28.89,16.31,4.75,16.47,12.93,143.5,15.26,24.22,35.88,15.19,5.87,16.62,10.54,52.27,22.5,11.56,4.23
Infection plant,36.3,14.66,95.67,25.99,45.82,22.44,7.74,23.22,15.57,189,18.35,26.05,41.58,13.01,3.28,18.23,3.75,22.12,55.82,5.26,6.43
Infection plant,34.89,12.93,83.27,27.52,35.78,24.71,12.09,25.71,13.51,121.1,9.9,24.53,38.96,17.45,4.01,13.23,1.12,55.72,24.02,13.98,1.74
Infection plant,37.77,16.04,128,35.32,22.59,20,12.63,15.27,13.57,136.91,13.87,24.55,33.43,15.58,7.93,13.83,5.78,99.25,99,10.26,6.71
Infection plant,38.2,14.13,96.05,44.01,36.34,20.47,9.69,29.28,12.5,129.4,9.31,19.67,34,19.04,6.6,19.79,1.41,91.72,62.3,10.23,5.76
Infection plant,39.38,16.39,133.23,15.03,41,22.4,11.23,29.37,9.67,167.53,13.95,21.25,39.79,17.27,9.97,11.3,1.13,19.98,55.32,13.81,5.84
Infection plant,32.99,19.94,133.12,18.36,33.77,19.38,11.3,20.22,12.84,198.41,18.4,19.44,37.98,17.93,6.66,20.87,5.56,73,61.14,12.45,5.23
Infection plant,36.17,19.42,97,33.12,20.36,24.23,3.44,24.3,16.42,150.78,14.64,20.15,32,16.82,10.24,12.17,4.79,71.13,75,13.37,1.6
Infection plant,35.61,12.67,128.13,38.62,46.58,20.35,11.96,28.2,13.46,110.04,14.34,18.25,25.5,15.6,10.12,11.64,4.59,91.03,87.83,12.19,2.44
Infection plant,34.46,16.46,120.3,16.22,29.24,22.29,3.94,19.86,15.07,187.77,8.4,18.69,30.01,16.92,8.58,20.29,3.76,63.6,71.6,10.73,2.91
Infection plant,31.02,13.38,137.59,19.95,32.23,16.85,5.35,26.91,17.22,138.15,13.18,19.27,17.39,18.3,9.93,17.81,10.44,60.78,56.37,4.78,5.39
Infection plant,30.57,12.26,84.87,28.87,38.19,21.51,5.52,27.46,17.18,200,10.42,24.78,23.23,12.82,8.7,12.3,8.8,79.88,70.7,7.42,4.68
Infection plant,32.47,13.27,131.02,15.32,26.79,17.93,10.96,20.8,14.9,120.18,10.63,23.62,19.07,16.81,5.43,15,4.23,28.72,43,10.83,3.42
Infection plant,35.5,13.15,90.79,37.29,45.01,21.53,3.69,29.38,16.25,125.71,15.04,19,45.47,11.99,7.75,19.12,5.67,52,93.97,10.84,2.96
Infection plant,33.68,19.52,131.24,15.81,43.18,23.86,4.22,23.34,8.08,117.6,17.58,17.46,29.14,18.16,2.34,19.73,7.13,26.16,32.37,11.32,3.87
Infection plant,31.16,12.71,130.92,15.86,30.58,22.21,4.74,27.42,8.59,111.3,13.55,24.98,31.9,12.88,5.6,12.98,8.12,31.82,37.46,9.38,10.81
Infection plant,32.66,13.36,120.79,16.62,48.12,17.45,8.22,24.15,12.26,137.92,13.17,22.18,39.66,10.62,8.52,16.95,8.79,37.6,76.35,12.7,9.2
Infection plant,30.98,19.84,128.57,49.96,47.61,18.6,3.02,26.48,10.89,183,10.43,26.33,26.18,12.41,4.32,13.03,10.65,32.94,95.42,8.4,10.93
Infection plant,39.97,21.79,120.65,34.15,36.97,20.23,8.26,17.59,9.57,188.77,11.14,17.47,21.72,15.09,7.57,12.23,9.74,53.05,47,10.28,4.01
Infection plant,38.63,16.18,97.07,40.95,31.11,17.98,5.18,16.04,11.78,125.29,13.8,18.46,45.39,14.84,3.36,18.21,2.85,49,64.97,12.73,10.23
Infection plant,38.91,18.6,109.65,36.89,32.94,16.49,12.58,26.9,12.51,192.9,8.75,21.28,37.13,12.03,8.35,18.31,10.26,90.84,89.05,7.86,2.64
Infection plant,31.03,12.87,81.87,27.5,20.88,16.57,4.21,17.67,10.32,114.11,17.82,23.66,34.69,11.92,6.93,19.92,10.07,31.81,73.57,8.98,4.67
Infection plant,31.54,13.25,129.87,26.16,20.34,17.38,8.14,16.19,17.77,142.72,13.82,18.22,10.93,19.65,6.8,20.46,7.12,40.76,62.2,9.53,2.5
Infection plant,35.58,14.41,126.67,14.86,29.82,23.76,6.47,16.58,13.86,127.84,19.58,20.07,35.32,16.58,10.55,19.18,9.62,55.24,81.83,5.18,7.04
Infection plant,36.57,13.77,99.16,19.07,29.98,22.78,5.19,16.94,12.97,122.98,10.36,24.59,42.94,15.43,3.61,15.48,9.71,55.54,51.78,5.52,4.5
Infection plant,36.24,21.01,130.88,46.81,48.62,19.64,12.54,17.17,17.29,168.62,15.02,21.42,26.82,19.22,4.04,12.04,2.09,61,55.01,5.42,7.39
Infection plant,36.46,19.29,120.19,23.24,29.86,21.22,5.34,24.24,17.83,168.39,12.66,25.07,19.41,10.65,9.17,17.7,9.75,40.27,35.07,10.11,5.55
Infection plant,36.22,13.01,96.68,18.03,49.44,24.5,12.9,22.16,16.95,141.91,8.87,17.96,39.8,15.95,9.64,14.4,2.14,32.68,36,4.07,6.93
Infection plant,30.72,13.3,136.28,48.38,48.58,18.78,6.38,14.8,11.22,145,10.89,21.27,32.72,10.13,4.63,14.68,2.1,49.04,92,8.6,9.42
Infection plant,37.07,20.31,82.92,37.45,20.6,20.85,8.33,26.86,12.99,163.6,19.28,19.74,27.49,11.86,2.89,14.62,7.26,24.89,66.96,4.3,7.26
Infection plant,36.89,20.24,84.1,49.23,47.24,16.91,7.97,25.16,10.62,198.16,9.44,25.52,33,11.73,7.46,20.86,4.37,46.23,55.28,7.76,10.32
Infection plant,32.39,12.16,83.71,43.51,42.58,18.33,11.8,21.64,8,116.05,11.71,23.16,22.85,11.75,2.91,13.71,8,71.56,86,11.67,8.58
Infection plant,32.53,21.88,106.14,17.63,48,19.46,4.52,16.18,9.13,159.83,11.86,23.53,30.86,16.36,4.82,16.99,9.06,83.44,40.14,4.31,8.9
